package_name,weekly_downloads,repeated_characters,repeated_chars_dls,omitted_characters,omitted_chars_dls,swapped_characters,swapped_chars_dls,swapped_words,swapped_words_dls,common_typos,common_typos_dls,version_numbers,version_numbers_dls
c-p,75,,,,,,,cp,15855,cp,15855,,
js-native,2,,,,,,,,,is-native,69632,,
vx-calendar,1,,,v-calendar,30332,,,,,,,,
foc,7,,,,,,,,,voc,128561,,
node-fsx,1,,,node-fs,123301,,,,,,,,
njson,3,,,,,,,,,hjson,13795,,
class-js,0,,,,,,,,,class-is,11842,,
ng2-infinite-scroll,1,,,ng-infinite-scroll,31102,,,,,,,,
fs-mock,53,,,,,,,mock-fs,128843,,,,
als,9,,,,,,,,,aos,31627,,
iiiii,1,i,790314,,,,,,,,,,
deep-id,0,,,,,,,,,deep-is,9627423,,
dca,0,,,,,,,,,dfa,363740,,
tijs,1,,,,,,,,,rijs,16120,,
grimm,1,grim,52530,,,,,,,,,,
fike,0,,,,,,,,,file,138080,,
mp-event,4,,,p-event,1760504,,,,,,,,
mow,1,,,,,,,,,now,47525,,
ngx-recaptcha,2,,,ng-recaptcha,33244,,,,,,,,
eslint-config-exo,0,,,eslint-config-xo,62511,,,,,,,,
at-js,13,,,,,,,at.js,16299,at.js,16299,,
c3d,0,,,,,,,,,cwd,192877,,
muye,1,,,,,,,,,mute,12239,,
bubble,54,buble,480261,,,,,,,,,,
caddress,0,,,address,4305829,,,,,,,,
postjs,2,,,,,,,,,postis,12380,,
cache-engine,0,,,,,,,engine-cache,22176,,,,
t-i18n,2779,,,,,,,i18n-t,12028,,,,
koa-ws,0,,,,,,,,,koa-qs,15377,,
package-jason,1,,,package-json,5815362,,,,,,,,
csv2json,1087,,,csvjson,22396,,,,,,,,
systemd,1053,,,system,13313,,,,,,,,
reducer,180,,,reduce,437493,,,,,,,,
vstable,0,,,stable,4847906,,,,,,,,
jacs,0,,,,,,,,,jscs,79725,,
mustache-express4,22,,,mustache-express,10975,,,,,,,mustache-express,10975
